# Time(s) Pressure(Pa)
0.000000e+00 3.008123e+04
0.000000e+00 2.900386e+04
0.000000e+00 2.770636e+04
0.000000e+00 2.619137e+04
0.000000e+00 2.446222e+04
0.000000e+00 2.252298e+04
0.000000e+00 2.037836e+04
0.000000e+00 1.803374e+04
0.000000e+00 1.549505e+04
0.000000e+00 1.276884e+04
0.000000e+00 9.862147e+03
0.000000e+00 6.782518e+03
0.000000e+00 3.537945e+03
0.000000e+00 1.368293e+02
0.000000e+00 -3.412052e+03
0.000000e+00 -7.099593e+03
0.000000e+00 -1.091639e+04
0.000000e+00 -1.485279e+04
0.000000e+00 -1.889891e+04
0.000000e+00 -2.304471e+04
0.000000e+00 -2.727999e+04
0.000000e+00 -3.159444e+04
0.000000e+00 -3.597767e+04
0.000000e+00 -4.041928e+04
0.000000e+00 -4.490881e+04
0.000000e+00 -4.943585e+04
0.000000e+00 -5.399002e+04
0.000000e+00 -5.856100e+04
0.000000e+00 -6.313858e+04
0.000000e+00 -6.771263e+04
0.000000e+00 -7.227317e+04
0.000000e+00 -7.681039e+04
0.000000e+00 -8.131459e+04
0.000000e+00 -8.577629e+04
0.000000e+00 -9.018619e+04
0.000000e+00 -9.453519e+04
0.000000e+00 -9.881440e+04
0.000000e+00 -1.030152e+05
0.000000e+00 -1.071291e+05
0.000000e+00 -1.111479e+05
0.000000e+00 -1.150638e+05
0.000000e+00 -1.188690e+05
0.000000e+00 -1.225562e+05
0.000000e+00 -1.261182e+05
0.000000e+00 -1.295483e+05
0.000000e+00 -1.328400e+05
0.000000e+00 -1.359870e+05
0.000000e+00 -1.389836e+05
0.000000e+00 -1.418242e+05
0.000000e+00 -1.445039e+05
0.000000e+00 -1.470177e+05
0.000000e+00 -1.493616e+05
0.000000e+00 -1.515316e+05
0.000000e+00 -1.535242e+05
0.000000e+00 -1.553367e+05
0.000000e+00 -1.569665e+05
0.000000e+00 -1.584118e+05
0.000000e+00 -1.596711e+05
0.000000e+00 -1.607438e+05
0.000000e+00 -1.616296e+05
0.000000e+00 -1.623290e+05
0.000000e+00 -1.628428e+05
0.000000e+00 -1.631729e+05
0.000000e+00 -1.633215e+05
0.000000e+00 -1.632914e+05
0.000000e+00 -1.630864e+05
0.000000e+00 -1.627107e+05
0.000000e+00 -1.621691e+05
0.000000e+00 -1.614672e+05
0.000000e+00 -1.606111e+05
0.000000e+00 -1.596075e+05
0.000000e+00 -1.584638e+05
0.000000e+00 -1.571876e+05
0.000000e+00 -1.557875e+05
0.000000e+00 -1.542720e+05
0.000000e+00 -1.526506e+05
0.000000e+00 -1.509326e+05
0.000000e+00 -1.491280e+05
0.000000e+00 -1.472468e+05
0.000000e+00 -1.452993e+05
0.000000e+00 -1.432960e+05
0.000000e+00 -1.412472e+05
0.000000e+00 -1.391634e+05
0.000000e+00 -1.370550e+05
0.000000e+00 -1.349320e+05
0.000000e+00 -1.328045e+05
0.000000e+00 -1.306820e+05
0.000000e+00 -1.285739e+05
0.000000e+00 -1.264890e+05
0.000000e+00 -1.244357e+05
0.000000e+00 -1.224216e+05
0.000000e+00 -1.204542e+05
0.000000e+00 -1.185399e+05
0.000000e+00 -1.166846e+05
0.000000e+00 -1.148935e+05
0.000000e+00 -1.131709e+05
0.000000e+00 -1.115206e+05
0.000000e+00 -1.099454e+05
0.000000e+00 -1.084472e+05
0.000000e+00 -1.070275e+05
0.000000e+00 -1.056866e+05
0.000000e+00 -1.044242e+05
0.000000e+00 -1.032394e+05
0.000000e+00 -1.021303e+05
0.000000e+00 -1.010944e+05
0.000000e+00 -1.001287e+05
0.000000e+00 -9.922925e+04
0.000000e+00 -9.839191e+04
0.000000e+00 -9.761183e+04
0.000000e+00 -9.688373e+04
0.000000e+00 -9.620198e+04
0.000000e+00 -9.556059e+04
0.000000e+00 -9.495332e+04
0.000000e+00 -9.437373e+04
0.000000e+00 -9.381525e+04
0.000000e+00 -9.327123e+04
0.000000e+00 -9.273505e+04
0.000000e+00 -9.220010e+04
0.000000e+00 -9.165994e+04
0.000000e+00 -9.110827e+04
0.000000e+00 -9.053903e+04
0.000000e+00 -8.994646e+04
0.000000e+00 -8.932510e+04
0.000000e+00 -8.866987e+04
0.000000e+00 -8.797611e+04
0.000000e+00 -8.723957e+04
0.000000e+00 -8.645648e+04
0.000000e+00 -8.562355e+04
0.000000e+00 -8.473799e+04
0.000000e+00 -8.379754e+04
0.000000e+00 -8.280041e+04
0.000000e+00 -8.174538e+04
0.000000e+00 -8.063170e+04
0.000000e+00 -7.945914e+04
0.000000e+00 -7.822797e+04
0.000000e+00 -7.693889e+04
0.000000e+00 -7.559310e+04
0.000000e+00 -7.419218e+04
0.000000e+00 -7.273814e+04
0.000000e+00 -7.123332e+04
0.000000e+00 -6.968042e+04
0.000000e+00 -6.808243e+04
0.000000e+00 -6.644261e+04
0.000000e+00 -6.476443e+04
0.000000e+00 -6.305157e+04
0.000000e+00 -6.130785e+04
0.000000e+00 -5.953722e+04
0.000000e+00 -5.774370e+04
0.000000e+00 -5.593137e+04
0.000000e+00 -5.410433e+04
0.000000e+00 -5.226665e+04
0.000000e+00 -5.042238e+04
0.000000e+00 -4.857547e+04
0.000000e+00 -4.672980e+04
0.000000e+00 -4.488914e+04
0.000000e+00 -4.305709e+04
0.000000e+00 -4.123714e+04
0.000000e+00 -3.943260e+04
0.000000e+00 -3.764659e+04
0.000000e+00 -3.588206e+04
0.000000e+00 -3.414177e+04
0.000000e+00 -3.242829e+04
0.000000e+00 -3.074398e+04
0.000000e+00 -2.909104e+04
0.000000e+00 -2.747144e+04
0.000000e+00 -2.588700e+04
0.000000e+00 -2.433935e+04
0.000000e+00 -2.282996e+04
0.000000e+00 -2.136013e+04
0.000000e+00 -1.993103e+04
0.000000e+00 -1.854368e+04
0.000000e+00 -1.719898e+04
0.000000e+00 -1.589775e+04
0.000000e+00 -1.464066e+04
0.000000e+00 -1.342834e+04
0.000000e+00 -1.226134e+04
0.000000e+00 -1.114012e+04
0.000000e+00 -1.006514e+04
0.000000e+00 -9.036785e+03
0.000000e+00 -8.055422e+03
0.000000e+00 -7.121402e+03
0.000000e+00 -6.235057e+03
0.000000e+00 -5.396716e+03
0.000000e+00 -4.606704e+03
0.000000e+00 -3.865347e+03
0.000000e+00 -3.172975e+03
0.000000e+00 -2.529922e+03
0.000000e+00 -1.936526e+03
0.000000e+00 -1.393128e+03
0.000000e+00 -9.000674e+02
0.000000e+00 -4.576815e+02
0.000000e+00 -6.629925e+01
0.000000e+00 2.737635e+02
0.000000e+00 5.622097e+02
0.000000e+00 7.987670e+02
0.000000e+00 9.831946e+02
0.000000e+00 1.115289e+03
0.000000e+00 1.194893e+03
0.000000e+00 1.221897e+03
0.000000e+00 1.196250e+03
0.000000e+00 1.117964e+03
0.000000e+00 9.871160e+02
0.000000e+00 8.038566e+02
0.000000e+00 5.684095e+02
0.000000e+00 2.810761e+02
0.000000e+00 -5.776409e+01
0.000000e+00 -4.476529e+02
0.000000e+00 -8.880545e+02
0.000000e+00 -1.378357e+03
